,title,url,time,Update_dt,trd_dt
83,한투운용 유튜브 新콘텐츠 '요즘투자'…이벤트 진행,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202307061037157650215,5일 전,2023-07-11 11:13:42.860521,20230706
84,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트",http://www.segyebiz.com/newsView/20230706509001?OutUrl=naver,5일 전,2023-07-11 11:13:42.860521,20230706
85,"한국투자신탁운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트 실시",https://www.news2day.co.kr/article/20230706500044,5일 전,2023-07-11 11:13:42.860521,20230706
86,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 인증 이벤트 진행",https://www.news1.kr/articles/5099690,5일 전,2023-07-11 11:13:42.860521,20230706
87,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트 진행",http://www.enewstoday.co.kr/news/articleView.html?idxno=2016717,5일 전,2023-07-11 11:13:42.860521,20230706
88,"한국투자신탁운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트 진행",http://www.paxetv.com/news/articleView.html?idxno=180410,5일 전,2023-07-11 11:13:42.860521,20230706
89,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트 진행",https://news.mtn.co.kr/news-detail/2023070609081198363,5일 전,2023-07-11 11:13:42.860521,20230706
90,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트 실시",https://www.ebn.co.kr/news/view/1583623/?sc=Naver,5일 전,2023-07-11 11:13:43.047976,20230706
91,“여의도 초년생은 어떤 투자를?”,http://www.fnnews.com/news/202307060841400738,5일 전,2023-07-11 11:13:43.047976,20230706
92,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트 진행",http://www.edaily.co.kr/news/newspath.asp?newsid=01377606635671896,5일 전,2023-07-11 11:13:43.047976,20230706
93,[ETF워치]질주하는 전기차주에 날아오른 테슬라 ETF,http://news.bizwatch.co.kr/article/market/2023/07/05/0024,5일 전,2023-07-11 11:13:43.047976,20230706
94,"'ETF 100조 시대' 한투·키움, 존재감 '뚜렷'…""차별화 상품 공급, 점유율 확대""",https://news.mtn.co.kr/news-detail/2023070515490728533,5일 전,2023-07-11 11:13:43.047976,20230706
95,"文정부 '5G ETF' 3총사, 尹정부선 수익률 천차만별…왜?",https://www.sedaily.com/NewsView/29S0GE16HY,6일 전,2023-07-11 11:13:43.047976,20230705
96,[투자노트] 요즘 이 ETF 모르면 간첩…투자자가 사랑하는 SCHD·제피,https://biz.chosun.com/stock/analysis-prospect/2023/07/05/4OCRLV674VGCPJCDWA3NJTD4FU/?utm_source=naver&utm_medium=original&utm_campaign=biz,6일 전,2023-07-11 11:13:43.047976,20230705
97,"""삼성전자, 올해만 벌써 30% 올랐는데…더 사도 될까?""",https://www.hankyung.com/finance/article/2023070437851,6일 전,2023-07-11 11:13:43.047976,20230705
98,"본격 시작되는 반도체 싸이클…""과거 실적·주가 동반 상승 최소 2년""",https://www.hankyung.com/finance/article/202307043445i,6일 전,2023-07-11 11:13:43.047976,20230705
99,이름 바꾸니 잘 풀리네···ETF 명칭 바꿔 시장 선점 시도하는 자산운용사,https://www.ajunews.com/view/20230704141127082,6일 전,2023-07-11 11:13:43.047976,20230705
