,ACE 200,ACE 200TR,ACE Fn성장소비주도주,ACE Gloabal Luxury&Hotel Index,ACE 골드선물 레버리지(합성 H),ACE 국고채3년,ACE 국채선물10년인버스,ACE 국채선물3년인버스,ACE 단기통안채,ACE 러시아MSCI(합성),ACE 레버리지,ACE 멕시코MSCI(합성),ACE 미국IT인터넷S&P(합성 H),ACE 미국WideMoat가치주,ACE 미국다우존스리츠(합성 H),ACE 밸류대형,ACE 베트남VN30(합성),ACE 삼성그룹동일가중,ACE 삼성그룹섹터가중,ACE 스마트로우볼,ACE 스마트모멘텀,ACE 스마트밸류,ACE 스마트퀄리티,ACE 스마트하이베타,ACE 싱가포르리츠,ACE 싱가포르리츠채권혼합모닝스타,ACE 아시아TOP50S&P,ACE 인도네시아MSCI(합성),ACE 인버스,ACE 일본Nikkei225(H),ACE 일본TOPIX레버리지(H),ACE 일본TOPIX인버스(합성 H),ACE 중국본토CSI300,ACE 중국본토CSI300레버리지(합성),ACE 중장기국공채액티브,ACE 코스닥(합성),ACE 코스피,ACE 필리핀MSCI(합성)
263,44639.34,26590.93,7812.26,2094.38394,18802.32,107185.91,94185.29,99275.3,100143.79,25605.85,11614.04,8606.7,19492.46,14210.82,77788.09,10549.6,16268.3,17429.98,17641.13,18086.28,18946.99,16332.14,20425.39,15941.21,11714.5,10009.51,16854.2,9217.94,4605.25,18737.95,19189.19,4717.23,33308.96,6417.6,102316.64,14380.82,32827.66,13813.37
264,43552.58,25944.13,7661.27,2103.72578,18782.33,107198.26,94053.93,99249.98,100145.06,25561.48,11011.75,8597.94,19499.7,14243.12,78331.93,10284.4,16333.91,17148.89,17426.55,17621.11,18576.25,15937.35,19918.76,15578.04,11695.3,10011.97,17170.55,9198.0,4729.6,18859.16,19274.84,4703.57,33803.74,6607.86,102352.77,14304.66,32113.84,13935.9
265,43238.56,25757.11,7611.16,2068.17098,18696.44,107236.48,93997.49,99204.57,100145.8,25690.3,10892.57,8632.12,19430.69,14110.38,78912.83,10166.91,15885.25,17231.77,17493.02,17511.19,18455.88,15819.97,19808.25,15434.28,11643.27,10003.33,16673.03,9023.76,4750.79,18681.68,19018.02,4738.65,33151.67,6346.17,102389.77,14188.35,31931.53,13692.46
266,42492.51,25313.74,7494.29,2130.86187,18575.28,107272.83,94056.06,99189.16,100147.11,25380.81,10474.97,8465.52,18854.21,13944.11,77537.22,9942.18,15517.62,16825.55,17058.95,17223.97,18179.35,15608.91,19504.64,15140.52,11827.56,10052.44,16636.48,9062.46,4849.42,18750.29,19264.92,4707.72,33573.79,6517.52,102409.06,13834.07,31383.45,13620.08
267,41370.68,24644.4,7238.5,2080.18695,18419.42,107326.17,94050.91,99155.1,100150.91,25195.52,9958.85,8465.64,19088.28,14083.3,77962.88,9655.51,14450.34,16177.86,16457.44,16802.35,17694.33,15178.5,19030.1,14696.26,11724.31,10026.94,16218.19,8915.46,4963.17,18436.49,18709.35,4760.57,32760.55,6187.41,102455.15,13367.03,30487.3,13589.01
268,42483.81,25306.14,7326.86,2095.84579,18600.97,107274.51,94275.46,99200.69,100150.66,24764.26,10484.86,8211.71,18848.17,13832.13,77176.86,9950.39,14946.7,16460.62,16706.24,17206.56,18180.99,15611.01,19501.93,15165.23,11771.16,10023.45,16188.61,8608.87,4830.93,18095.87,18167.58,4837.98,32544.1,6110.23,102359.08,13771.32,31308.0,13109.9
269,43063.68,25650.45,7442.68,2161.48701,18873.59,107317.8,94059.02,99174.27,100153.89,24817.31,10799.41,8228.34,19358.29,13992.43,79047.8,10073.74,14718.82,16641.96,16914.03,17441.7,18424.62,15826.6,19794.2,15358.22,11703.96,10021.09,16654.61,8878.79,4751.81,18393.79,18667.39,4781.76,32984.62,6285.87,102452.85,13869.96,31728.35,13547.05
270,43487.07,25901.11,7511.92,2159.30067,18254.95,107344.73,94059.58,99156.86,100156.67,25289.52,10984.45,8440.92,19785.23,14207.65,79403.87,10190.66,15405.94,16646.8,16985.22,17624.38,18564.6,16005.71,19995.65,15507.32,11766.53,10037.1,16869.9,8840.3,4714.67,18559.03,19036.78,4736.94,33401.85,6442.5,102463.94,13968.46,32062.78,13652.16
271,42777.08,25480.05,7414.14,2198.5978,18288.58,107343.58,94222.13,99131.44,100158.52,25225.25,10592.12,8436.96,19874.19,14261.64,79126.33,10083.56,16018.0,16374.12,16684.7,17364.57,18232.98,15768.28,19667.76,15263.99,11881.31,10057.41,16905.46,8883.45,4805.33,18745.63,19494.75,4675.39,33420.34,6460.49,102424.28,13880.67,31626.35,13664.32
272,43286.49,25783.94,7466.04,2241.30477,17406.18,107369.62,94175.8,99116.2,100163.11,25763.46,10858.29,8478.53,20265.18,14555.97,79514.88,10191.76,16072.47,16575.84,16966.13,17590.76,18486.27,15965.55,19916.18,15422.84,11830.1,10049.65,16933.65,9013.82,4742.87,18545.99,19367.32,4689.91,33441.88,6457.92,102475.92,13920.85,31965.62,13772.83
273,42845.84,25520.9,7551.59,2235.84496,17829.34,107325.53,94520.36,99171.78,100165.43,26169.95,10646.92,8548.74,20613.69,14602.61,79766.25,10041.68,16329.56,16658.03,16899.72,17472.8,18300.56,15817.26,19672.11,15229.71,11797.63,10014.6,16873.65,9015.22,4787.36,18832.93,19923.36,4625.12,33476.65,6460.84,102349.15,13825.46,31666.57,13969.72
274,42733.24,25455.16,7536.62,2240.52752,18244.93,107346.31,94437.91,99155.36,100166.52,26620.15,10581.43,8554.46,20747.5,14701.58,79966.79,10035.23,15636.11,16668.91,16885.87,17424.25,18241.53,15764.6,19613.68,15194.65,11725.55,10000.23,16873.35,9017.41,4804.42,19236.02,20638.7,4544.66,33916.24,6629.15,102379.3,13783.31,31595.97,13982.81
275,42927.08,25569.88,7539.85,2205.83783,18309.1,107332.5,94496.67,99167.26,100172.34,26245.01,10737.63,8613.12,20811.55,14625.66,80267.97,10094.02,16051.63,16688.28,16903.15,17522.84,18363.01,15857.66,19792.63,15296.41,11701.76,9988.29,16816.48,8895.19,4757.61,19303.76,20624.58,4540.37,34419.24,6825.95,102353.43,13874.85,31774.22,13916.06
276,43676.79,26015.59,7568.66,2205.83783,18412.19,107292.91,94736.32,99204.94,100174.45,26315.97,11052.0,8511.88,21202.96,14734.44,80813.64,10205.04,15985.0,16798.43,17214.77,17797.29,18669.99,16089.02,20104.24,15552.47,11572.38,9936.05,17119.0,8914.23,4696.04,19282.53,20697.68,4520.68,34891.03,7024.23,102257.49,14128.17,32246.88,13721.68
277,43895.25,26147.31,7654.66,2286.91519,18018.57,107342.17,94554.95,99142.59,100176.94,26763.89,11141.8,8472.46,21198.3,14716.87,80806.99,10253.56,15951.43,16836.58,17237.72,17920.35,18752.9,16193.2,20210.39,15586.26,11561.02,9947.57,17126.79,8924.49,4679.77,19668.01,21236.86,4473.86,34849.48,7010.9,102355.78,14067.24,32405.14,13586.8
278,43380.98,25841.49,7623.69,2238.46537,17534.57,107334.24,94660.51,99170.17,100179.24,26835.09,10895.81,8510.58,21211.25,14866.37,80004.43,10164.65,16052.96,16763.75,17113.85,17732.13,18519.28,16026.33,19969.0,15428.73,11587.4,9947.32,17158.39,8950.56,4730.14,19938.18,21571.27,4448.38,35081.62,7158.5,102316.23,14096.14,32098.98,13764.76
279,42689.15,25429.87,7602.62,2254.30226,17021.44,107356.14,94599.09,99162.79,100181.28,26325.61,10571.84,8563.78,20974.34,14858.32,79909.05,9978.33,16636.1,16543.1,16865.75,17446.04,18200.82,15754.23,19679.16,15184.86,11586.87,9951.23,17340.75,8811.57,4798.95,19818.86,21457.26,4456.35,35073.05,7158.76,102353.3,13918.81,31617.39,13586.52
280,43047.92,25643.88,7536.99,2299.16497,17063.32,107332.25,94784.12,99183.9,100184.86,25876.4,10762.16,8392.17,20827.17,14774.33,79665.88,10055.27,16813.64,16588.81,16799.74,17579.58,18330.97,15877.23,19867.41,15297.13,11563.9,9933.58,17164.48,8704.66,4752.42,19763.45,20947.01,4500.25,34701.81,6944.43,102293.67,13885.13,31836.93,13361.34
281,42633.18,25397.59,7441.88,2355.11477,17109.15,107240.89,95169.8,99274.6,100186.57,26364.94,10539.68,8378.12,20793.23,14921.15,80041.16,10006.68,16764.9,16535.94,16529.87,17417.3,18161.85,15673.22,19674.78,15145.39,11493.76,9887.73,17116.88,8823.04,4804.06,19628.01,20647.56,4530.05,34917.07,7045.75,102114.44,13729.64,31550.89,13488.02
